P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
HD 64121 b,HD 64121,Radial Velocity,623,1.51,,,,0.11,,,5078,5.44,1.64
HD 6434 b,HD 6434,Radial Velocity,21.998,0.14,,,,0.17,,,5835,,0.79
HD 6434 b,HD 6434,Radial Velocity,21.998,0.14,,,,0.17,,,5769,1.12,1.1
HD 6434 b,HD 6434,Radial Velocity,22.017,0.148,,,,0.146,,,5690,1.14,0.89
HD 65216 b,HD 65216,Radial Velocity,572.4,1.3,,,,0,,,5623.44,0.89,1
HD 65216 b,HD 65216,Radial Velocity,613.09998,1.37,,,,0.41,,,5645,0.88,0.88
HD 65216 b,HD 65216,Radial Velocity,613.1,1.37,,,,0.41,,,5666,,0.92
HD 65216 b,HD 65216,Radial Velocity,577.6,1.301,,,,0.27,,,5612,,0.87
HD 65216 c,HD 65216,Radial Velocity,152.6,0.54,,,,0.02,,,5623.44,0.89,1
HD 65216 c,HD 65216,Radial Velocity,5370,5.75,,,,0.17,,,5612,,0.87
HD 66141 b,HD 66141,Radial Velocity,480.5,1.2,,,,0.07,,,4323,21.4,1.1
HD 66428 b,HD 66428,Radial Velocity,2293.9,3.471,,,,0.44,,,5669,1.16,1.01
HD 66428 b,HD 66428,Radial Velocity,2280.4,,,,,0.448,,,,,1.06
HD 66428 b,HD 66428,Radial Velocity,2263.12,3.467,,,,0.493,,,5773,1.1,1.08
HD 66428 b,HD 66428,Radial Velocity,2288.9,3.455,,,,0.418,,,5647.6,1.17,1.05
HD 66428 b,HD 66428,Radial Velocity,1973,3.14,,,,0.47,,,5716,1.13,1
HD 66428 b,HD 66428,Radial Velocity,2269.81726,3.395,,3478.94974,,0.471,,16.639,,,1.01
HD 66428 b,HD 66428,Radial Velocity,1973,3.18,,,,0.465,,,5752,,1.1
HD 66428 c,HD 66428,Radial Velocity,39000,23,,,,0.32,,,5647.6,1.17,1.05
HD 66428 c,HD 66428,Radial Velocity,10478.84437,9.408,,560.64931,,0.207,,93.938,,,1.01
HD 67087 b,HD 67087,Radial Velocity,352.2,1.08,,,,0.17,,,6330,1.55,1.36
HD 67087 c,HD 67087,Radial Velocity,2374,3.86,,,,0.76,,,6330,1.55,1.36
HD 6718 b,HD 6718,Radial Velocity,2496,3.55,,,,0.1,,,5801,0.95,1.08
HD 6718 b,HD 6718,Radial Velocity,2496,3.56,,,,0.1,,,5746,1.02,0.96
HD 68402 b,HD 68402,Radial Velocity,1103,2.18,,,,0.03,,,5950,1.02,1.12
HD 68402 b,HD 68402,Radial Velocity,1150,2.239,,2510.84442,,0.225,,20.3,5950,,1.12
HD 6860 b,HD 6860,Radial Velocity,663.87,2.03,,,,0.28,,,3802,86.4,2.49
HD 68988 b,HD 68988,Radial Velocity,6.27711,0.07,,,,0.12,,,5932,1.19,1.28
HD 68988 b,HD 68988,Radial Velocity,6.27711,0.0704,,,,0.1249,,,5960,,1.18
HD 68988 b,HD 68988,Radial Velocity,6.2764187,0.0702,,,,0.1581,,,5883.41,1.26,1.17
HD 68988 b,HD 68988,Radial Velocity,6.276,0.071,,,,0.14,,,,,1.2
HD 68988 c,HD 68988,Radial Velocity,16000,13.2,,,,0.45,,,5883.41,1.26,1.17
HD 69123 b,HD 69123,Radial Velocity,1191,2.48,,982.08978,,0.224,,70,4842,,1.68
HD 69123 b,HD 69123,Radial Velocity,1193.3,2.482,,,,0.19,,,4842,7.72,1.68
HD 69830 b,HD 69830,Radial Velocity,8.667,0.0785,,,,0.1,,,5385,,0.86
HD 69830 b,HD 69830,Radial Velocity,8.66945,0.0794,,,,0.112,,,5420.58,0.89,0.89
HD 69830 c,HD 69830,Radial Velocity,31.613,0.1882,,,,0.114,,,5420.58,0.89,0.89
HD 69830 c,HD 69830,Radial Velocity,31.56,0.186,,,,0.13,,,5385,,0.86
HD 69830 d,HD 69830,Radial Velocity,200.61,0.645,,,,0.1,,,5420.58,0.89,0.89
HD 69830 d,HD 69830,Radial Velocity,197,0.63,,,,0.07,,,5385,,0.86
HD 70573 b,HD 70573,Radial Velocity,851.8,1.76,,,,0.4,,,5737,,1
HD 70642 b,HD 70642,Radial Velocity,2101,3.295,,1239.53079,,0.04,,29.9,5732,,1.08
HD 70642 b,HD 70642,Radial Velocity,2231,3.3,,,,0.1,,,5670,,1
HD 70642 b,HD 70642,Radial Velocity,2124.54,3.318,,,,0.175,,,5732,0.98,1.08
HD 70642 b,HD 70642,Radial Velocity,2068,3.18,,,,0.03,,,5665,1.02,0.96
HD 70642 b,HD 70642,Radial Velocity,2068,3.23,,,,0.034,,,5706,,1.05
HD 7199 b,HD 7199,Radial Velocity,615,1.36,,,,0.19,,,5371,0.97,0.77
HD 7199 b,HD 7199,Radial Velocity,615,1.36,,,,0.19,,,5386,0.96,0.89
HD 72490 b,HD 72490,Radial Velocity,858,1.88,,,,0.124,,,4934,4.96,1.21
HD 72659 b,HD 72659,Radial Velocity,3506,,,,,0.249,,,,,1.07
HD 72659 b,HD 72659,Radial Velocity,3549.39854,4.691,,949.67128,,0.257,,77.583,,,1.09
HD 72659 b,HD 72659,Radial Velocity,3658,4.74,,,,0.22,,,5926,1.36,1.06
HD 72659 b,HD 72659,Radial Velocity,2185,3.24,,,,0.18,,,,,0.95
HD 72659 b,HD 72659,Radial Velocity,3570,4.652,,,,0.269,,,5865.17,1.52,1.05
HD 72659 b,HD 72659,Radial Velocity,3383,4.511,,,,0.271,,,5920,,1.07
HD 72659 b,HD 72659,Radial Velocity,3630,4.77,,,,0.269,,,5943.3,1.45,1.09
HD 72659 b,HD 72659,Radial Velocity,3658,4.75,,,,0.22,,,5932,1.46,1.43
HD 72659 c,HD 72659,Radial Velocity,18207.72098,13.959,,5977.08102,,0.091,,14.279,,,1.09
HD 72892 b,HD 72892,Radial Velocity,39.44603,0.228,,,,0.419,,,,,1.01
HD 72892 b,HD 72892,Radial Velocity,39.475,0.228,,,,0.423,,,5688,1.22,1.02
HD 73256 c,HD 73256,Radial Velocity,2690,3.8,,5085.25451,,0.16,,29,,,1
HD 73267 b,HD 73267,Radial Velocity,1260,2.198,,,,0.256,,,5317,1.04,0.89
HD 73267 b,HD 73267,Radial Velocity,1245.36,2.187,,,,0.23,,,5387,0.91,0.9
HD 73267 b,HD 73267,Radial Velocity,1257.99159,2.229,,1321.53052,,0.261,,130.843,,,0.93
HD 73267 b,HD 73267,Radial Velocity,1257.2,2.195,,1462.01067,,0.2625,,42,5317,,0.89
HD 73267 c,HD 73267,Radial Velocity,13900,11,,1398.44499,,0.134,,75,5317,,0.89
HD 73267 c,HD 73267,Radial Velocity,17071.78045,12.688,,1630.77756,,0.089,,91.849,,,0.93
HD 73344 b,HD 73344,Transit,15.61136333,,2.903,,,,830,,6061.77,1.23,
HD 73344 b,HD 73344,Transit,15.613426,,3,,,,,,6460,1.44,
HD 73344 b,HD 73344,Transit,15.611,0.131,2.884,10.48,2.451,0.03,911,88.082,6252.6,1.22,1.2
HD 73526 b,HD 73526,Radial Velocity,188.9,0.65,,,,0.29,,,,,1.01
HD 73526 b,HD 73526,Radial Velocity,188.3,0.65,,,,0.19,,,5601,1.53,1.14
HD 73526 b,HD 73526,Radial Velocity,190.5,0.66,,,,0.34,,,,,1.05
HD 73526 c,HD 73526,Radial Velocity,379.1,1.03,,,,0.28,,,,,1.01
HD 73534 b,HD 73534,Radial Velocity,1721,2.95,,,,0,,,4917,2.58,1.16
HD 73534 b,HD 73534,Radial Velocity,1750,2.99,,,,0.126,,,4917,2.58,1.16
HD 73534 b,HD 73534,Radial Velocity,1770,3.067,,,,0.074,,,5041,2.39,1.23
HD 73534 b,HD 73534,Radial Velocity,1770,3.02,,,,0.07,,,4973,2.63,1.4
HD 73534 b,HD 73534,Radial Velocity,1707,,,,,0.022,,,,,1.17
HD 73583 b,HD 73583,Transit,6.3980661,0.05995,2.84,15.9,3.8,0.294,743,89.45,4582,0.68,0.7
HD 73583 b,HD 73583,Transit,6.39805,0.072,2.49,,,,655,89.428,4511,0.65,0.73
HD 73583 b,HD 73583,Transit,6.3980642,,2.62,,,,671,,4695,0.63,
HD 73583 b,HD 73583,Transit,6.398042,0.0604,2.79,10.2,2.58,0.09,714,88.37,4511,0.65,0.73
HD 73583 c,HD 73583,Transit,18.87974,0.1242,2.39,9.7,3.88,0.08,498,89.72,4511,0.65,0.73
HD 73583 c,HD 73583,Transit,18.8805,0.1233,2.73,22.5,6.1,0.093,518,89.61,4582,0.68,0.7
HD 73583 c,HD 73583,Transit,18.8792871,,1.998,,,,502,,4695,0.63,
HD 74156 b,HD 74156,Radial Velocity,51.645,0.292,,,,0.627,,,6068,,1.24
HD 74156 b,HD 74156,Radial Velocity,51.643,0.294,,,,0.636,,,6105,,1.27
HD 74156 b,HD 74156,Radial Velocity,51.63603,0.2844,,,,0.6536,,,5951.71,1.51,1.15
HD 74156 b,HD 74156,Radial Velocity,51.638,0.29169,,,,0.63,,,5960,1.64,1.24
HD 74156 b,HD 74156,Radial Velocity,51.6385,0.2916,,,,0.638,,,5977,1.48,1.1
HD 74156 b,HD 74156,Radial Velocity,51.63564,0.28,,,,0.636,,,,,1.1
HD 74156 c,HD 74156,Radial Velocity,2448.9,3.82,,,,0.3829,,,5977,1.48,1.1
HD 74156 c,HD 74156,Radial Velocity,2446,3.823,,3127.43152,,0.3805,,53.8,6068,,1.24
HD 74156 c,HD 74156,Radial Velocity,2460,,,,,0.37,,,,,1.24
HD 74156 c,HD 74156,Radial Velocity,2473,3.85,,,,0.432,,,6068,,1.24
HD 74156 c,HD 74156,Radial Velocity,2448.6,3.726,,,,0.3691,,,5951.71,1.51,1.15
HD 74156 c,HD 74156,Radial Velocity,2025,3.4,,,,0.583,,,6105,,1.27
HD 74156 c,HD 74156,Radial Velocity,2520,3.9,,,,0.38,,,5960,1.64,1.24
HD 74156 c,HD 74156,Radial Velocity,2448.48726,3.678,,2753.98315,,0.377,,120.162,,,1.1
HD 7449 b,HD 7449,Radial Velocity,1275,2.34,,,,0.82,,,6047,0.97,1.14
HD 7449 b,HD 7449,Radial Velocity,1270.5,2.33,,,,0.8,,,6032.6,1.03,1.12
HD 7449 b,HD 7449,Radial Velocity,1270.55195,2.438,,2597.9294,,0.752,,171.631,,,1.2
HD 7449 b,HD 7449,Radial Velocity,1275,2.3,,,,0.82,,,6024,1.01,1.05
HD 7449 b,HD 7449,Radial Velocity,1255.5,2.38,,,,0.92,,,6024,,1.05
HD 74698 b,HD 74698,Radial Velocity,15.017,0.121,,,,0.1,,,5783,1.33,1.04
HD 74698 c,HD 74698,Radial Velocity,3449,4.5,,,,0.2,,,5783,1.33,1.04
HD 75289 b,HD 75289,Radial Velocity,3.508,0.047,,,,0.014,,,,,1.15
HD 75289 b,HD 75289,Radial Velocity,3.50927,0.05,,,,0.03,,,6117,1.23,1.29
HD 75289 b,HD 75289,Radial Velocity,3.509267,0.0482,,,,0.034,,,6095,,1.21
HD 75289 b,HD 75289,Radial Velocity,3.5098,0.046,,,,0.024,1260,,6000,,1.15
HD 75302 b,HD 75302,Radial Velocity,4356,5.3,,1716.2734,,0.39,,29,,,1.06
HD 75784 b,HD 75784,Radial Velocity,341.7,1.073,,,,0.13,,,4917,3.3,1.41
HD 75784 b,HD 75784,Radial Velocity,341.2,1.032,,,,0.097,,,4867,3.4,1.26
HD 75784 b,HD 75784,Radial Velocity,341.5,1.033,,,,0.142,,,4867,3.4,1.26
HD 75784 c,HD 75784,Radial Velocity,7900,8.4,,,,0.489,,,4867,3.4,1.26
HD 75784 c,HD 75784,Radial Velocity,5040,6.46,,,,0.36,,,4917,3.17,1.33
HD 75784 c,HD 75784,Radial Velocity,3878,5.22,,,,0.266,,,4867,3.4,1.26
HD 75898 b,HD 75898,Radial Velocity,418.20001,1.19,,,,0.1,,,6061,1.55,1.43
HD 75898 b,HD 75898,Radial Velocity,418.2,1.19,,,,0.1,,,6021,1.6,1.28
HD 75898 b,HD 75898,Radial Velocity,422.9,1.191,,,,0.11,,,5963,1.58,1.26
HD 76700 b,HD 76700,Radial Velocity,3.971,0.049,,,,0,,,,,1
HD 76700 b,HD 76700,Radial Velocity,3.97097,0.0511,,,,0.095,,,5668,,1.13
HD 76700 b,HD 76700,Radial Velocity,3.97097,0.05,,,,0.09,,,5644,1.37,0.99
HD 76920 b,HD 76920,Radial Velocity,,1.165,,,,,,,4664,8.68,1.22
HD 76920 b,HD 76920,Radial Velocity,415.4,1.149,,,,0.856,,,4698,7.47,1.17
HD 76920 b,HD 76920,Radial Velocity,415.891,1.091,,,,0.8782,,,4664,8.33,1
HD 77338 b,HD 77338,Radial Velocity,5.7361,0.0614,,15.9,,0.09,,,5370,0.88,0.93
HD 77338 b,HD 77338,Radial Velocity,5.7361,0.06,,,,0.09,,,5341,0.97,1.37
HD 77946 b,HD 77946,Transit,6.51595067,,2.83,,,,1151,,6023,1.33,
HD 77946 b,HD 77946,Transit,6.527282,0.072,2.705,8.38,2.48113,0.233,,87.79,6046,1.31,1.17
HD 79181 b,HD 79181,Radial Velocity,273.1,0.9,,,,0.259,,,4862,11.06,1.28
HD 7924 b,HD 7924,Radial Velocity,5.39785,0.05595,,,,0.049,,,5171.13,0.78,0.8
HD 7924 b,HD 7924,Radial Velocity,5.39792,0.05664,,,,0.058,826,,5075,0.78,0.83
HD 7924 b,HD 7924,Radial Velocity,5.39699,,,,,0,,,5136,0.79,0.87
HD 7924 b,HD 7924,Radial Velocity,5.39792,0.06,,,,0.06,,,5131,0.78,0.65
HD 7924 b,HD 7924,Radial Velocity,5.3978,0.057,,,,0.17,,,5177,0.78,0.83
HD 7924 c,HD 7924,Radial Velocity,15.3006,0.1121,,,,0.1,,,5171.13,0.78,0.8
HD 7924 c,HD 7924,Radial Velocity,15.299,0.1134,,,,0.098,584,,5075,0.78,0.83
HD 7924 d,HD 7924,Radial Velocity,24.4459,0.1532,,,,0.17,,,5171.13,0.78,0.8
HD 7924 d,HD 7924,Radial Velocity,24.451,0.1551,,,,0.21,499,,5075,0.78,0.83
HD 79498 b,HD 79498,Radial Velocity,1807,2.98,,,,0.575,,,5748,1.05,1.08
HD 79498 b,HD 79498,Radial Velocity,1966.1,3.13,,,,0.59,,,5740,,1.06
HD 80606 b,HD 80606,Radial Velocity,111.43639,0.4602,,,,0.93043,,,5565.89,1.07,1.05
HD 80606 b,HD 80606,Radial Velocity,111.4357,0.449,10.98,1252.2,,0.9332,,89.32,,0.98,0.97
HD 80606 b,HD 80606,Radial Velocity,111.4367,,11.994,1392.0954,,0.93,,89.29,5561,1.04,1.15
HD 80606 b,HD 80606,Radial Velocity,111.429,0.447,,,,0.9324,,,5573,,0.96
HD 80606 b,HD 80606,Radial Velocity,111.4367,0.4564,11.243,1307.55262,5.08,,405,89.232,5574,1.04,1.02
HD 80606 b,HD 80606,Radial Velocity,111.4367,0.4565,11.243,1308.18828,5.06,0.93226,,89.232,5574,1.04,1.02
HD 80606 b,HD 80606,Radial Velocity,111.428,0.46,,,,0.933,,,5524,1.09,0.97
HD 80653 b,HD 80653,Transit,0.71957121,,1.611,,,,2302,,5910,1.26,
HD 80653 b,HD 80653,Transit,0.719573,0.01661,1.613,5.72,7.47,0,2463,82.1,5959,1.22,1.18
HD 80653 b,HD 80653,Transit,0.719573,0.0166,1.613,5.6,7.4,,,82.1,,1.22,1.18
HD 80653 b,HD 80653,Transit,0.719597,,,,,,,,6080,1.22,
HD 80869 b,HD 80869,Radial Velocity,1711.7,2.878,,,,0.862,203,,5837,1.06,1.08
HD 80869 b,HD 80869,Radial Velocity,1711,2.877,,1802.08707,,0.871,,69,5837,,1.08
HD 80869 b,HD 80869,Radial Velocity,1752.92067,2.905,,1609.80088,,0.924,,98.559,,,1.06
HD 80883 b,HD 80883,Radial Velocity,6383.78352,6.462,,1748.05624,,0.203,,141.312,,,0.88
HD 80913 b,HD 80913,Radial Velocity,10839.83341,9.95,,7505.2,,0.313,,22.331,,,1.11
HD 81040 b,HD 81040,Radial Velocity,1001.70001,1.94,,,,0.53,,,5755,0.91,1.05
HD 81040 b,HD 81040,Radial Velocity,1002.7,1.946,,2301.07767,,0.525,,73,,,0.99
HD 81040 b,HD 81040,Radial Velocity,1005.98854,1.988,,2151.06266,,0.557,,88.773,,,1.03
HD 81040 b,HD 81040,Radial Velocity,1001.7,1.94,,,,0.526,,,5700,0.86,0.96
HD 81688 b,HD 81688,Radial Velocity,184.02,0.81,,,,0,,,4753,13,2.1
HD 81688 b,HD 81688,Radial Velocity,183.93,0.648,,,,0.04,,,4797,11.13,1.07
HD 81688 b,HD 81688,Radial Velocity,,0.66,,,,,,,,,1.1
HD 81817 b,HD 81817,Radial Velocity,1021.20159,3.233,,7668.5638,,0.097,,95.594,,,4.3
HD 81817 b,HD 81817,Radial Velocity,1047.1,3.3,,,,0.17,,,4140,83.8,4.3
HD 81817 c,HD 81817,Radial Velocity,622.97802,2.325,,,,0.095,,,,,4.3
HD 82886 b,HD 82886,Radial Velocity,705,1.58,,,,0.07,,,4953,5.26,2.53
HD 82886 b,HD 82886,Radial Velocity,705,1.65,,,,0.066,,,5112,4.8,1.06
HD 82943 b,HD 82943,Radial Velocity,441.93,1.189,,,,0.142,,,5918.31,1.2,1.15
HD 82943 b,HD 82943,Radial Velocity,435.1,1.18,,,,0.18,,,6005,,1.15
HD 82943 b,HD 82943,Radial Velocity,442.4,1.151,,,,0.203,,,6011,1.03,1.04
HD 82943 b,HD 82943,Radial Velocity,441.2,1.18,,,,0.219,,,5935,1.18,1.08
HD 82943 b,HD 82943,Radial Velocity,441.47,1.18306,,534.25,,0.162,,90,5935,1.18,1.08
HD 82943 c,HD 82943,Radial Velocity,219.929,0.747,,,,0.421,,,5918.31,1.2,1.15
HD 82943 c,HD 82943,Radial Velocity,220.078,0.74345,,622.603,,0.3663,,90,5935,1.18,1.08
HD 82943 c,HD 82943,Radial Velocity,219.4,0.75,,,,0.38,,,6005,,1.15
HD 82943 c,HD 82943,Radial Velocity,219.3,0.747,,,,0.359,,,5935,1.18,1.08
HD 82943 c,HD 82943,Radial Velocity,219.3,0.7209,,,,0.425,,,6011,1.03,1.04
HD 8326 b,HD 8326,Radial Velocity,158.991,0.533,,,,0.2,,,4914,,0.8
HD 83443 b,HD 83443,Radial Velocity,2.985628,0.0406,,,,0.012,,,5442,0.94,1
HD 83443 b,HD 83443,Radial Velocity,2.98553,0.0375,,,,0.052,,,,,0.79
HD 83443 b,HD 83443,Radial Velocity,2.985698,0.0406,,,,0.012,,,5429,1,0.95
HD 83443 b,HD 83443,Radial Velocity,2.9857,0.04,,,,0.01,,,5442,0.94,0.79
HD 83443 b,HD 83443,Radial Velocity,2.98565,0.039,,,,0.013,,,5454,,0.9
HD 83443 b,HD 83443,Radial Velocity,2.985625,0.0406,,,,0.008,,,5429,1,0.95
HD 83443 b,HD 83443,Radial Velocity,2.98566,0.04067,,,,0.074,,,5429.16,1.02,1.01
HD 83443 c,HD 83443,Radial Velocity,8241,8,,476.74261,,0.76,,,5442,0.94,1
HD 8535 b,HD 8535,Radial Velocity,1313,2.45,,,,0.15,,,6136,1.19,1.13
HD 85390 b,HD 85390,Radial Velocity,788,1.52,,,,0.41,,,5164,0.8,0.54
HD 85390 b,HD 85390,Radial Velocity,788,1.52,,,,0.41,,,5186,,0.76
HD 85390 b,HD 85390,Radial Velocity,799.52,1.373,,,,0.5,,,5186,,0.76
HD 85512 b,HD 85512,Radial Velocity,58.43,0.26,,,,0.11,,,4300,0.71,0.43
HD 85512 b,HD 85512,Radial Velocity,58.43,0.26,,,,0.11,298,90,4715,,0.69
HD 8574 b,HD 8574,Radial Velocity,227,0.757,,,,0.297,,,6050,,1.12
HD 8574 b,HD 8574,Radial Velocity,227,0.76,,,,0.3,,,6064,1.38,1.34
HD 8574 b,HD 8574,Radial Velocity,227.04,0.75,,,,0.306,,,6004.14,1.42,1.09
HD 8574 b,HD 8574,Radial Velocity,227.55,0.77,,,,0.288,,,6031,1.41,1.12
HD 86065 b,HD 86065,Radial Velocity,25775.78859,15.947,,2877.30057,,0.219,,29.821,,,0.81
HD 86081 b,HD 86081,Radial Velocity,2.1375,0.035,,,,0.008,,,,1.22,1.21
HD 86081 b,HD 86081,Radial Velocity,2.1375,0.03,,,,0.01,,,6018,1.58,1.39
HD 86081 b,HD 86081,Radial Velocity,2.1378431,0.0346,,,,0.0119,,,5939,1.46,1.21
HD 86226 b,HD 86226,Radial Velocity,1534,2.6,,,,0.73,,,,,1.02
HD 86226 b,HD 86226,Radial Velocity,1628,2.73,,143.0235,,0.059,176,,5863,1.05,1.02
HD 86226 b,HD 86226,Radial Velocity,1695,2.84,,,,0.15,,,5903,1.02,1.06
HD 86226 c,HD 86226,Transit,3.9846654,,,,,0.075,,86.45,5863,1.05,1.02
HD 86226 c,HD 86226,Transit,3.98442,0.049,2.16,7.25,3.97,0.075,1311,86.45,5863,1.05,1.02
HD 86226 c,HD 86226,Transit,3.9846589,,2.128,,,,1405,,5903,1.03,
HD 86264 b,HD 86264,Radial Velocity,1480,2.873,,3909.28941,,0.77,,45,6210,,1.42
HD 86264 b,HD 86264,Radial Velocity,1488.79123,2.763,,3117.26102,,0.821,,93.591,,,1.26
HD 86264 b,HD 86264,Radial Velocity,1475,2.86,,,,0.7,,,6210,1.88,1.42
HD 8673 b,HD 8673,Radial Velocity,1634,3.02,,,,0.723,,,6389.05,1.5,1.28
HD 8673 b,HD 8673,Radial Velocity,1644.69097,2.97,,4210.59074,,0.73,,95.45,,,1.28
HD 86950 b,HD 86950,Radial Velocity,1270,2.72,,,,0.17,,,4805,8.8,1.66
HD 87646 b,HD 87646,Radial Velocity,13.481,0.117,,,,0.05,,,5770,1.55,1.12
HD 87883 b,HD 87883,Radial Velocity,3309.22118,4.055,,1719.13385,,0.707,,25.446,,,0.81
HD 87883 b,HD 87883,Radial Velocity,2754,3.58,,,,0.53,,,4915,0.79,0.66
HD 87883 b,HD 87883,Radial Velocity,3006,3.77,,2005.49725,,0.72,,16.8,,,0.8
HD 87883 b,HD 87883,Radial Velocity,2754,3.6,,,,0.53,,,4980,0.76,0.82
HD 87883 b,HD 87883,Radial Velocity,3303,4.072,,,,0.7121,,,4989.41,0.8,0.83
HD 88072 b,HD 88072,Radial Velocity,18538.79293,13.895,,2511.7979,,0.156,,169.626,,,1.04
HD 88133 b,HD 88133,Radial Velocity,3.4148674,0.04691,,324.1866,,0.05,,15,5438,1.94,1.18
HD 88133 b,HD 88133,Radial Velocity,3.41587,0.0472,,,,0.133,,,5392,2.03,0.94
HD 88133 b,HD 88133,Radial Velocity,3.41587,0.05,,,,0.13,,,5404,2.01,1.23
HD 88133 b,HD 88133,Radial Velocity,3.414887,0.0479,,,,0,,,5392,2.2,1.26
HD 88133 b,HD 88133,Radial Velocity,3.414884,0.0479,,,,0.031,,,5392,2.2,1.26
HD 88133 b,HD 88133,Radial Velocity,3.415,0.046,,,,0.11,,,5494,1.93,1.2
HD 88986 b,HD 88986,Radial Velocity,146.05,0.58,2.49,17.2,6.1,0.24,460,89.9,5861,1.54,1.25
HD 89307 b,HD 89307,Radial Velocity,2900,3.9,,,,0.01,,,5956.14,1.09,1.09
HD 89307 b,HD 89307,Radial Velocity,2199,3.3632,,,,0.25,,,5906,1.01,1.05
HD 89307 b,HD 89307,Radial Velocity,2188,3.331,,642.01338,,0.174,,72,5950,,1.03
HD 89307 b,HD 89307,Radial Velocity,2166,3.27,,,,0.2,,,5955,1.1,1.27
HD 89307 b,HD 89307,Radial Velocity,2157,3.27,,,,0.241,,,5950,1.05,1.03
HD 89307 b,HD 89307,Radial Velocity,2199,3.34,,,,0.25,,,,,1.03
HD 89345 b,HD 89345,Transit,11.81417262,,6.972,,,,1039,,5609,1.79,
HD 89345 b,HD 89345,Transit,11.81399,0.105,6.86,35.7,0.609,0.203,1053,,5499,1.66,1.12
HD 89345 b,HD 89345,Transit,11.814417,,,,,0.2,,87.9,5499,1.66,1.12
HD 89345 b,HD 89345,Transit,11.8143,0.1115,7.263,38.45743,0.547,0.22,1068,87.56,5622,1.73,1.32
HD 89345 b,HD 89345,Transit,11.8143,0.1066,7.398,34.9613,0.471,0.22,1089,87.21,5576,1.75,1.16
HD 89744 b,HD 89744,Radial Velocity,256.78,0.91,,,,0.689,,,6249.16,2.13,1.21
HD 89744 b,HD 89744,Radial Velocity,256.78,0.917,,,,0.677,,,6291,,1.86
HD 89744 b,HD 89744,Radial Velocity,256.78,0.918,,,,0.673,,,6291,,1.56
HD 89839 b,HD 89839,Radial Velocity,3441,4.761,,1592.32032,,0.187,,49.5,6314,,1.21
HD 89839 b,HD 89839,Radial Velocity,3448,4.9,,1652.70772,,0.2,,129,,,1.3
HD 90156 b,HD 90156,Radial Velocity,49.77,0.25,,,,0.31,,,5599,,0.84
HD 90156 b,HD 90156,Radial Velocity,49.609,0.2509,,,,0.16,,,5629.62,0.92,0.86
HD 9174 b,HD 9174,Radial Velocity,1179,2.2,,,,0.12,,,5577,1.67,1.03
HD 92788 b,HD 92788,Radial Velocity,325.72,0.971,,,,0.351,,,5744,,1.03
HD 92788 b,HD 92788,Radial Velocity,325.81,0.95,,,,0.33,,,5738,1.11,1.15
HD 92788 b,HD 92788,Radial Velocity,325.803,0.97,,,,0.35,,,5744,1.14,1.15
HD 92788 b,HD 92788,Radial Velocity,325.705,0.949,,,,0.3552,,,5702.25,1.16,1.08
HD 92788 b,HD 92788,Radial Velocity,325,0.96,,,,0.35,,,5821,,1.1
HD 92788 b,HD 92788,Radial Velocity,326.7,0.95,,,,0.3,,,5754,1.05,1.06
HD 92788 c,HD 92788,Radial Velocity,11611.2975,10.5,,,,0.46,,,5744,1.14,1.15
HD 92788 c,HD 92788,Radial Velocity,8360,8.26,,,,0.355,,,5702.25,1.16,1.08
HD 93083 b,HD 93083,Radial Velocity,143.58,0.477,,,,0.14,,,4995,,0.7
HD 93351 b,HD 93351,Radial Velocity,2.45946,0.035,,,,0.549,,,,,0.94
HD 93351 c,HD 93351,Radial Velocity,14010.2941,11.154,,4154.01728,,0.109,,14.636,,,0.94
HD 93385 b,HD 93385,Radial Velocity,7.3426,0.0756,,,,0.295,,,5977,,1.04
HD 93385 c,HD 93385,Radial Velocity,13.18,0.112,,,,0.2,,,5977,,1.04
HD 93385 d,HD 93385,Radial Velocity,45.85,0.2565,,,,0.09,,,5977,,1.04
HD 93963 A b,HD 93963 A,Transit,1.0391353,0.02085,1.35,7.8,,,2042,86.21,5987,1.04,1.11
HD 93963 A b,HD 93963 A,Transit,1.0376109,,1.537,,,,1926,,5922,1.05,
HD 93963 A c,HD 93963 A,Transit,3.6451549,,2.993,,,,1143,,5922,1.05,
HD 93963 A c,HD 93963 A,Transit,3.6451398,0.04813,3.228,19.2,,,1344,86.31,5987,1.04,1.11
HD 9446 b,HD 9446,Radial Velocity,30.052,0.189,,,,0.2,,,5793,1,1
HD 9446 c,HD 9446,Radial Velocity,192.9,0.654,,,,0.06,,,5793,1,1
HD 94771 b,HD 94771,Radial Velocity,2164,3.48,,,,0.39,,,5631,1.9,1.2
HD 94834 b,HD 94834,Radial Velocity,1576,2.74,,,,0.14,,,4798,4.2,1.11
HD 95086 b,HD 95086,Imaging,,,,1748.065,,,1108,,7595,1.49,1.77
HD 95086 b,HD 95086,Imaging,,55.7,,1589,,,1000,,,,1.6
HD 95086 b,HD 95086,Imaging,,,,2288.36453,,,,,,,
HD 95086 b,HD 95086,Imaging,,,,1430.235,,,916,,7595,1.49,1.77
HD 95086 b,HD 95086,Imaging,,56,,1589,,,,,,,1.6
